s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count,num_samples
3ef,"POLYGON ((55.4914770123316 24.25860976441469, 61.32685351056502 25.63226655107013, 61.326853510565 31.09807140426155, 55.4914770123316 29.53280370582265, 55.4914770123316 24.25860976441469))",0.839,0.843,0.893,103,94,16,500,10975
38d,"POLYGON ((67.38013505195958 32.39984017391932, 73.46516214265485 33.38766721236327, 73.46516214265485 38.79459515585769, 67.38013505195957 37.74124916352239, 67.38013505195958 32.39984017391932))",0.794,0.830,0.861,5722277,3458658,1754725,13504697,32728
1a7,"POLYGON ((10.61965527615514 -4.973642825000524, 16.53483785734516 -4.851647556935838, 16.53483785734516 0, 10.61965527615513 0, 10.61965527615514 -4.973642825000524))",0.696,0.741,0.808,2929873,2398360,1444152,3407010,27168
393,"POLYGON ((67.38013505195958 26.7849955075022, 73.46516214265485 27.66622518241585, 73.46516214265485 33.38766721236327, 67.38013505195958 32.39984017391932, 67.38013505195958 26.7849955075022))",0.788,0.823,0.856,17067926,10732259,5092755,35035368,56993
1a5,"POLYGON ((10.61965527615513 -10.44179817172576, 16.53483785734515 -10.18989264617986, 16.53483785734516 -4.851647556935838, 10.61965527615514 -4.973642825000524, 10.61965527615513 -10.44179817172576))",0.718,0.769,0.836,4187073,3063455,1388526,5386455,29610
39b,"POLYGON ((79.38034472384487 28.25839533868567, 84.94013115373588 28.57906855098932, 84.94013115373588 34.40415724063815, 79.38034472384487 34.04786296943432, 79.38034472384487 28.25839533868567))",0.667,0.737,0.787,4841379,3260656,2049901,5189997,2065
1ed,"POLYGON ((28.67314648943499 -25.63226655107013, 34.5085229876684 -24.25860976441469, 34.5085229876684 -18.9499500044539, 28.67314648943499 -20.08096213071963, 28.67314648943499 -25.63226655107013))",0.709,0.758,0.802,7966416,6291774,4214041,9547111,16470
bdb,"POLYGON ((-77.39585271623817 -49.3292221793741, -74.74488129694222 -54.52596135026464, -66.64443514071399 -53.17193519487547, -70.50413948681376 -48.3455290041172, -77.39585271623817 -49.3292221793741))",0.774,0.803,0.829,149442,110473,76585,299290,4709
309,"POLYGON ((90 10.61965527615513, 95.05986884626412 10.57920733737058, 95.05986884626412 16.47390220016713, 90 16.53483785734516, 90 10.61965527615513))",0.770,0.771,0.809,81961,81160,57349,154936,1310
105,"POLYGON ((5.059868846264116 5.040252729758283, 10.61965527615514 4.973642825000524, 10.61965527615513 10.44179817172576, 5.059868846264117 10.57920733737058, 5.059868846264116 5.040252729758283))",0.650,0.689,0.737,25483667,22637049,18646987,25487081,33961
913,"POLYGON ((-79.38034472384487 -16.26672649011948, -79.38034472384487 -22.27057548800819, -73.46516214265485 -21.77355606643973, -73.46516214265485 -15.88626236166589, -79.38034472384487 -16.26672649011948))",0.749,0.749,0.749,3532,3532,3532,6587,2
193,"POLYGON ((28.67314648943499 -20.08096213071963, 34.5085229876684 -18.9499500044539, 34.5085229876684 -13.74670252512002, 28.67314648943499 -14.59941342503042, 28.67314648943499 -20.08096213071963))",0.657,0.697,0.755,10458436,9038361,6486396,10699257,27953
143,"POLYGON ((28.67314648943499 20.08096213071963, 34.5085229876684 18.9499500044539, 34.5085229876684 24.25860976441469, 28.67314648943499 25.63226655107013, 28.67314648943499 20.08096213071963))",0.795,0.828,0.875,257282,157125,53364,724326,5086
395,"POLYGON ((67.38013505195958 21.03751102542181, 73.46516214265485 21.77355606643973, 73.46516214265485 27.66622518241585, 67.38013505195958 26.7849955075022, 67.38013505195958 21.03751102542181))",0.756,0.802,0.879,19252202,11879657,2110630,33050933,12721
13b,"POLYGON ((10.61965527615513 28.25839533868567, 16.53483785734515 27.66622518241585, 16.53483785734516 33.38766721236327, 10.61965527615513 34.04786296943432, 10.61965527615513 28.25839533868567))",0.818,0.842,0.871,180825,127783,73671,511426,23836
19d,"POLYGON ((28.67314648943499 -4.442038523400337, 34.5085229876684 -4.173022773894666, 34.5085229876684 0, 28.67314648943499 0, 28.67314648943499 -4.442038523400337))",0.650,0.683,0.738,22103171,19996306,15616889,22106220,56653
329,"POLYGON ((124.5085229876684 0, 129.9812346589189 0, 129.9812346589189 3.881312186924027, 124.5085229876684 4.173022773894666, 124.5085229876684 0))",0.731,0.779,0.833,1064005,804312,452490,1408833,2317
85d,"POLYGON ((-100.6196552761551 22.27057548800819, -100.6196552761551 16.26672649011948, -95.05986884626412 16.47390220016713, -95.05986884626412 22.54054940194471, -100.6196552761551 22.27057548800819))",0.790,0.825,0.933,14474810,8564477,126074,38408563,23263
3ed,"POLYGON ((61.32685351056502 25.63226655107013, 67.38013505195958 26.7849955075022, 67.38013505195958 32.39984017391932, 61.326853510565 31.09807140426155, 61.32685351056502 25.63226655107013))",0.789,0.821,0.873,1265070,771666,180863,2959312,6978
0e7,"POLYGON ((-10.61965527615513 16.26672649011948, -5.059868846264116 16.47390220016713, -5.059868846264117 22.54054940194471, -10.61965527615513 22.27057548800819, -10.61965527615513 16.26672649011948))",0.651,0.651,0.707,148319,148319,128523,148583,870
0ed,"POLYGON ((-22.61986494804043 9.8193006387579, -16.53483785734515 10.18989264617986, -16.53483785734515 15.88626236166589, -22.61986494804043 15.32501998539171, -22.61986494804043 9.8193006387579))",0.744,0.782,0.831,1496294,1117521,638215,2360662,15230
121,"POLYGON ((0 22.61986494804042, 5.059868846264117 22.54054940194471, 5.059868846264117 28.57906855098932, 0 28.67314648943499, 0 22.61986494804042))",0.776,0.788,0.850,57102,50301,18073,128727,748
30b,"POLYGON ((90 16.53483785734516, 95.05986884626412 16.47390220016713, 95.05986884626412 22.54054940194471, 90 22.61986494804042, 90 16.53483785734516))",0.730,0.758,0.809,2080826,1574870,750390,3455640,8112
2d9,"POLYGON ((118.673146489435 -4.442038523400337, 124.5085229876684 -4.173022773894666, 124.5085229876684 0, 118.673146489435 0, 118.673146489435 -4.442038523400337))",0.666,0.740,0.815,3953618,3078123,1772555,4111979,1956
14f,"POLYGON ((28.67314648943499 31.09807140426155, 34.5085229876684 29.53280370582265, 34.5085229876684 34.64422054710851, 28.67314648943499 36.34237313080051, 28.67314648943499 31.09807140426155))",0.817,0.940,0.956,3590506,32283,4993,9741034,26068
18b,"POLYGON ((39.98123465891889 -17.70687285471333, 45 -16.41644037358546, 45 -11.85551661629703, 39.98123465891889 -12.81566331979315, 39.98123465891889 -17.70687285471333))",0.650,0.650,0.731,771800,771800,630937,772193,4594
073,"POLYGON ((-39.98123465891889 -17.70687285471333, -34.5085229876684 -18.9499500044539, -34.5085229876684 -13.74670252512002, -39.98123465891889 -12.81566331979315, -39.98123465891889 -17.70687285471333))",0.683,0.726,0.772,1329715,1158484,913745,1449095,574
1c3,"POLYGON ((16.53483785734516 -33.38766721236327, 22.61986494804043 -32.39984017391932, 22.61986494804042 -26.7849955075022, 16.53483785734515 -27.66622518241585, 16.53483785734516 -33.38766721236327))",0.752,0.780,0.828,388830,323935,200890,577334,3235
0dd,"POLYGON ((-10.61965527615513 22.27057548800819, -5.059868846264117 22.54054940194471, -5.059868846264117 28.57906855098932, -10.61965527615513 28.25839533868567, -10.61965527615513 22.27057548800819))",0.674,0.716,0.798,110933,92493,51537,120952,1240
953,"POLYGON ((-50.01876534108111 -27.78027316318915, -50.01876534108111 -32.72223246694561, -45 -30.66533377890378, -45 -25.92605088194581, -50.01876534108111 -27.78027316318915))",0.683,0.729,0.800,1863275,1618737,1159839,2032839,1547
0ef,"POLYGON ((-16.53483785734515 10.18989264617986, -10.61965527615513 10.44179817172576, -10.61965527615513 16.26672649011948, -16.53483785734515 15.88626236166589, -16.53483785734515 10.18989264617986))",0.652,0.698,0.749,6853704,5801832,4453423,6904926,40803
1bd,"POLYGON ((16.53483785734515 -15.88626236166589, 22.61986494804043 -15.32501998539171, 22.61986494804043 -9.8193006387579, 16.53483785734515 -10.18989264617986, 16.53483785734515 -15.88626236166589))",0.651,0.673,0.740,1120636,1040863,744424,1122617,4189
30f,"POLYGON ((95.05986884626412 10.57920733737058, 100.6196552761551 10.44179817172576, 100.6196552761551 16.26672649011948, 95.05986884626412 16.47390220016713, 95.05986884626412 10.57920733737058))",0.761,0.805,0.849,7042503,5299586,3324202,10561021,16139
813,"POLYGON ((-118.673146489435 31.09807140426155, -118.673146489435 25.63226655107013, -112.6198649480404 26.7849955075022, -112.6198649480404 32.39984017391932, -118.673146489435 31.09807140426155))",0.730,0.837,0.942,243804,93911,1346,325844,193
8ef,"POLYGON ((-79.38034472384487 16.26672649011948, -79.38034472384487 10.44179817172576, -73.46516214265485 10.18989264617986, -73.46516214265485 15.88626236166589, -79.38034472384487 16.26672649011948))",0.798,0.870,0.943,678827,147214,2360,1461800,3785
1f1,"POLYGON ((34.5085229876684 -29.53280370582265, 39.98123465891889 -27.78027316318915, 39.98123465891889 -22.73590953009369, 34.5085229876684 -24.25860976441469, 34.5085229876684 -29.53280370582265))",0.727,0.765,0.793,148594,91391,52488,248138,451
0c7,"POLYGON ((-22.61986494804042 26.7849955075022, -16.53483785734515 27.66622518241585, -16.53483785734516 33.38766721236327, -22.61986494804043 32.39984017391932, -22.61986494804042 26.7849955075022))",0.794,0.827,0.925,252769,172289,7964,577165,2713
919,"POLYGON ((-73.46516214265485 -4.851647556935838, -73.46516214265485 -10.18989264617986, -67.38013505195958 -9.8193006387579, -67.38013505195957 -4.67244275538945, -73.46516214265485 -4.851647556935838))",0.669,0.709,0.908,286150,252800,12051,301643,198
0ff,"POLYGON ((-5.059868846264117 0, 0 0, 0 5.059868846264117, -5.059868846264116 5.040252729758283, -5.059868846264117 0))",0.699,0.737,0.791,258808,211507,140476,316665,1672
921,"POLYGON ((-67.38013505195958 0, -67.38013505195957 -4.67244275538945, -61.326853510565 -4.442038523400337, -61.32685351056502 0, -67.38013505195958 0))",0.677,0.746,0.801,152330,120657,85799,163388,208
91d,"POLYGON ((-79.38034472384487 0, -79.38034472384487 -4.973642825000524, -73.46516214265485 -4.851647556935838, -73.46516214265485 0, -79.38034472384487 0))",0.756,0.803,0.859,2877613,1918016,780116,4620572,6504
901,"POLYGON ((-90 0, -90 -5.059868846264117, -84.94013115373588 -5.040252729758283, -84.94013115373588 0, -90 0))",0.730,0.730,0.730,4238,4238,4238,5585,2
85f,"POLYGON ((-95.05986884626412 22.54054940194471, -95.05986884626412 16.47390220016713, -90 16.53483785734516, -90 22.61986494804042, -95.05986884626412 22.54054940194471))",0.725,0.774,0.826,4648529,3357731,1805582,6253204,4421
36d,"POLYGON ((100.6196552761551 22.27057548800819, 106.5348378573452 21.77355606643973, 106.5348378573452 27.66622518241585, 100.6196552761551 28.25839533868567, 100.6196552761551 22.27057548800819))",0.659,0.721,0.762,2561693,1983905,1522948,2642054,159
3bf,"POLYGON ((67.38013505195958 15.32501998539171, 73.46516214265485 15.88626236166589, 73.46516214265485 21.77355606643973, 67.38013505195958 21.03751102542181, 67.38013505195958 15.32501998539171))",0.833,0.838,0.903,2493379,2287507,341577,9207491,1245
8c1,"POLYGON ((-67.38013505195958 21.03751102542181, -67.38013505195958 15.32501998539171, -61.326853510565 14.59941342503042, -61.326853510565 20.08096213071963, -67.38013505195958 21.03751102542181))",0.729,0.781,0.831,2516869,1951960,1354531,3310436,6068
3eb,"POLYGON ((61.326853510565 20.08096213071963, 67.38013505195958 21.03751102542181, 67.38013505195958 26.7849955075022, 61.32685351056502 25.63226655107013, 61.326853510565 20.08096213071963))",0.809,0.863,0.884,955697,290077,148567,3322086,3685
2e3,"POLYGON ((100.6196552761551 -4.973642825000524, 106.5348378573452 -4.851647556935838, 106.5348378573452 0, 100.6196552761551 0, 100.6196552761551 -4.973642825000524))",0.748,0.790,0.849,6918085,5160100,2168089,9578298,7252
2cf,"POLYGON ((124.5085229876684 -13.74670252512002, 129.9812346589189 -12.81566331979315, 129.9812346589189 -8.175896074358709, 124.5085229876684 -8.783194988097531, 124.5085229876684 -13.74670252512002))",0.651,0.669,0.707,764929,721641,628217,766421,617
303,"POLYGON ((95.05986884626412 0, 100.6196552761551 0, 100.6196552761551 4.973642825000524, 95.05986884626412 5.040252729758283, 95.05986884626412 0))",0.777,0.828,0.870,3542346,2073954,831139,5752774,9447
0fb,"POLYGON ((-10.61965527615514 4.973642825000524, -5.059868846264116 5.040252729758283, -5.059868846264117 10.57920733737058, -10.61965527615513 10.44179817172576, -10.61965527615514 4.973642825000524))",0.650,0.669,0.729,8043679,7663419,6252728,8046597,23008
be9,"POLYGON ((-58.78159723565363 -51.20393553160921, -52.69605172201657 -55.49070946377213, -45 -52.28170368578864, -51.49934627965457 -48.70131507598031, -58.78159723565363 -51.20393553160921))",0.724,0.724,0.774,3836,3836,2571,5634,32
197,"POLYGON ((22.61986494804043 -15.32501998539171, 28.67314648943499 -14.59941342503042, 28.67314648943499 -9.341889685888818, 22.61986494804043 -9.8193006387579, 22.61986494804043 -15.32501998539171))",0.663,0.721,0.774,4028535,3240531,2304790,4182712,19339
86d,"POLYGON ((-112.6198649480404 32.39984017391932, -112.6198649480404 26.7849955075022, -106.5348378573452 27.66622518241585, -106.5348378573452 33.38766721236327, -112.6198649480404 32.39984017391932))",0.770,0.813,0.853,1595185,1064724,546508,2616401,5210
939,"POLYGON ((-61.326853510565 -14.59941342503042, -61.326853510565 -20.08096213071963, -55.49147701233161 -18.9499500044539, -55.4914770123316 -13.74670252512002, -61.326853510565 -14.59941342503042))",0.765,0.805,0.841,1092367,826246,544522,1648865,1480
3b5,"POLYGON ((67.38013505195958 0, 73.46516214265485 0, 73.46516214265485 4.851647556935838, 67.38013505195957 4.67244275538945, 67.38013505195958 0))",0.683,0.683,0.711,43399,43399,39243,48075,88
179,"POLYGON ((34.5085229876684 0, 39.98123465891889 0, 39.98123465891889 3.881312186924027, 34.5085229876684 4.173022773894666, 34.5085229876684 0))",0.674,0.730,0.768,6113957,4675625,3463694,6627869,12281
685,"POLYGON ((140.0187653410811 -3.881312186924027, 140.0187653410811 -8.175896074358709, 145.4914770123316 -8.783194988097531, 145.4914770123316 -4.173022773894666, 140.0187653410811 -3.881312186924027))",0.703,0.703,0.703,37907,37907,37907,46273,950
0e9,"POLYGON ((-16.53483785734515 15.88626236166589, -10.61965527615513 16.26672649011948, -10.61965527615513 22.27057548800819, -16.53483785734516 21.77355606643973, -16.53483785734515 15.88626236166589))",0.685,0.733,0.782,1766703,1424652,993769,1989576,16778
3d9,"POLYGON ((45 7.552372279897661, 50.01876534108111 8.175896074358709, 50.01876534108111 12.81566331979315, 45 11.85551661629703, 45 7.552372279897661))",0.742,0.786,0.876,310025,211855,46054,499894,3598
92b,"POLYGON ((-50.01876534108111 0, -50.01876534108111 -3.881312186924027, -45 -3.582521766172679, -45 0, -50.01876534108111 0))",0.722,0.773,0.821,2453456,1971214,1315300,2990664,3361
2fd,"POLYGON ((95.05986884626412 -5.040252729758283, 100.6196552761551 -4.973642825000524, 100.6196552761551 0, 95.05986884626412 0, 95.05986884626412 -5.040252729758283))",0.723,0.766,0.828,1076772,850656,447695,1371848,2614
95f,"POLYGON ((-67.38013505195957 -37.74124916352239, -67.38013505195957 -42.70938995736147, -61.32685351056502 -41.26277996400312, -61.32685351056502 -36.34237313080051, -67.38013505195957 -37.74124916352239))",0.767,0.798,0.816,514202,365327,281023,954081,7643
687,"POLYGON ((140.0187653410811 0, 140.0187653410811 -3.881312186924027, 145.4914770123316 -4.173022773894666, 145.4914770123316 0, 140.0187653410811 0))",0.787,0.805,0.838,112119,91889,56976,227106,1421
31f,"POLYGON ((106.5348378573452 0, 112.6198649480404 0, 112.6198649480404 4.67244275538945, 106.5348378573452 4.851647556935838, 106.5348378573452 0))",0.821,0.854,0.945,828447,480914,7344,2173671,3693
867,"POLYGON ((-100.6196552761551 28.25839533868567, -100.6196552761551 22.27057548800819, -95.05986884626412 22.54054940194471, -95.05986884626412 28.57906855098932, -100.6196552761551 28.25839533868567))",0.765,0.818,0.914,3641861,2057473,143408,6031832,5634
1a3,"POLYGON ((16.53483785734515 -10.18989264617986, 22.61986494804043 -9.8193006387579, 22.61986494804043 -4.67244275538945, 16.53483785734516 -4.851647556935838, 16.53483785734515 -10.18989264617986))",0.651,0.651,0.665,2707005,2707005,2598361,2711874,8873
69b,"POLYGON ((140.0187653410811 -8.175896074358709, 140.0187653410811 -12.81566331979315, 145.4914770123316 -13.74670252512002, 145.4914770123316 -8.783194988097531, 140.0187653410811 -8.175896074358709))",0.769,0.795,0.813,55443,45077,37903,96228,241
175,"POLYGON ((22.61986494804042 0, 28.67314648943499 0, 28.67314648943499 4.442038523400337, 22.61986494804043 4.67244275538945, 22.61986494804042 0))",0.650,0.659,0.718,1548518,1513643,1214958,1549919,5800
16b,"POLYGON ((22.61986494804043 15.32501998539171, 28.67314648943499 14.59941342503042, 28.67314648943499 20.08096213071963, 22.61986494804042 21.03751102542181, 22.61986494804043 15.32501998539171))",0.668,0.668,0.668,78690,78690,78690,85446,74
33d,"POLYGON ((112.6198649480404 9.8193006387579, 118.673146489435 9.341889685888818, 118.673146489435 14.59941342503042, 112.6198649480404 15.32501998539171, 112.6198649480404 9.8193006387579))",0.668,0.668,0.668,36595,36595,36595,38837,49
00d,"POLYGON ((-39.98123465891889 -22.73590953009369, -34.5085229876684 -24.25860976441469, -34.5085229876684 -18.9499500044539, -39.98123465891889 -17.70687285471333, -39.98123465891889 -22.73590953009369))",0.734,0.799,0.837,152280,106605,68463,193516,322
1b9,"POLYGON ((10.61965527615513 -22.27057548800819, 16.53483785734516 -21.77355606643973, 16.53483785734515 -15.88626236166589, 10.61965527615513 -16.26672649011948, 10.61965527615513 -22.27057548800819))",0.691,0.723,0.782,1882342,1483526,711022,2294452,6372
117,"POLYGON ((10.61965527615513 16.26672649011948, 16.53483785734515 15.88626236166589, 16.53483785734516 21.77355606643973, 10.61965527615513 22.27057548800819, 10.61965527615513 16.26672649011948))",0.663,0.663,0.789,23229,23229,5294,25684,113
969,"POLYGON ((-73.46516214265485 -27.66622518241585, -73.46516214265485 -33.38766721236327, -67.38013505195958 -32.39984017391932, -67.38013505195958 -26.7849955075022, -73.46516214265485 -27.66622518241585))",0.792,0.818,0.848,1373718,997486,576864,3011713,9108
3af,"POLYGON ((79.38034472384487 4.973642825000524, 84.94013115373588 5.040252729758283, 84.94013115373588 10.57920733737058, 79.38034472384487 10.44179817172576, 79.38034472384487 4.973642825000524))",0.699,0.751,0.810,8433245,6460628,3888772,10066838,14797
33b,"POLYGON ((118.673146489435 9.341889685888818, 124.5085229876684 8.783194988097531, 124.5085229876684 13.74670252512002, 118.673146489435 14.59941342503042, 118.673146489435 9.341889685888818))",0.754,0.799,0.849,5955766,3723338,1679313,10854108,6564
323,"POLYGON ((112.6198649480404 4.67244275538945, 118.673146489435 4.442038523400337, 118.673146489435 9.341889685888818, 112.6198649480404 9.8193006387579, 112.6198649480404 4.67244275538945))",0.784,0.845,0.920,974199,556650,81490,1675144,4340
1e9,"POLYGON ((22.61986494804043 -32.39984017391932, 28.67314648943499 -31.09807140426155, 28.67314648943499 -25.63226655107013, 22.61986494804042 -26.7849955075022, 22.61986494804043 -32.39984017391932))",0.778,0.817,0.976,7169501,5063636,209,12456870,44393
397,"POLYGON ((73.46516214265485 21.77355606643973, 79.38034472384487 22.27057548800819, 79.38034472384487 28.25839533868567, 73.46516214265485 27.66622518241585, 73.46516214265485 21.77355606643973))",0.774,0.804,0.829,25742998,17227082,11044832,61048124,7027
399,"POLYGON ((79.38034472384487 22.27057548800819, 84.94013115373588 22.54054940194471, 84.94013115373588 28.57906855098932, 79.38034472384487 28.25839533868567, 79.38034472384487 22.27057548800819))",0.743,0.773,0.809,45099294,32124314,18325090,82495502,15987
681,"POLYGON ((135 0, 135 -3.582521766172679, 140.0187653410811 -3.881312186924027, 140.0187653410811 0, 135 0))",0.729,0.778,0.811,188647,141234,106141,253784,519
8e1,"POLYGON ((-73.46516214265485 4.851647556935838, -73.46516214265485 0, -67.38013505195958 0, -67.38013505195957 4.67244275538945, -73.46516214265485 4.851647556935838))",0.711,0.742,0.802,220204,189543,121176,277823,314
94f,"POLYGON ((-55.4914770123316 -24.25860976441469, -55.4914770123316 -29.53280370582265, -50.01876534108111 -27.78027316318915, -50.01876534108111 -22.73590953009369, -55.4914770123316 -24.25860976441469))",0.719,0.771,0.828,9196414,7417058,4894220,11246273,10077
9ab,"POLYGON ((-95.05986884626412 0, -95.05986884626412 -5.040252729758283, -90 -5.059868846264117, -90 0, -95.05986884626412 0))",0.651,0.689,0.733,16065,14239,11954,16122,383
12f,"POLYGON ((5.059868846264117 34.40415724063815, 10.61965527615513 34.04786296943432, 10.61965527615513 39.49464011274421, 5.059868846264117 39.87112800298822, 5.059868846264117 34.40415724063815))",0.780,0.840,1.000,5041091,2762624,0,8878248,34871
169,"POLYGON ((28.67314648943499 14.59941342503042, 34.5085229876684 13.74670252512002, 34.5085229876684 18.9499500044539, 28.67314648943499 20.08096213071963, 28.67314648943499 14.59941342503042))",0.776,0.800,0.838,5477948,4028293,1853000,11029595,39260
331,"POLYGON ((124.5085229876684 8.783194988097531, 129.9812346589189 8.175896074358709, 129.9812346589189 12.81566331979315, 124.5085229876684 13.74670252512002, 124.5085229876684 8.783194988097531))",0.738,0.776,0.824,1294500,879739,429653,2166371,2102
0d1,"POLYGON ((-10.61965527615513 34.04786296943432, -5.059868846264117 34.40415724063815, -5.059868846264117 39.87112800298822, -10.61965527615513 39.49464011274421, -10.61965527615513 34.04786296943432))",0.847,0.863,0.884,7735,5489,3152,51494,20034
8e5,"POLYGON ((-79.38034472384487 10.44179817172576, -79.38034472384487 4.973642825000524, -73.46516214265485 4.851647556935838, -73.46516214265485 10.18989264617986, -79.38034472384487 10.44179817172576))",0.772,0.818,0.862,3229747,1927183,755975,5800973,11921
0c5,"POLYGON ((-16.53483785734515 27.66622518241585, -10.61965527615513 28.25839533868567, -10.61965527615513 34.04786296943432, -16.53483785734516 33.38766721236327, -16.53483785734515 27.66622518241585))",0.818,0.856,0.880,263499,133416,73359,912789,2466
36b,"POLYGON ((106.5348378573452 21.77355606643973, 112.6198649480404 21.03751102542181, 112.6198649480404 26.7849955075022, 106.5348378573452 27.66622518241585, 106.5348378573452 21.77355606643973))",0.661,0.661,0.661,505673,505673,505673,525032,38
0d7,"POLYGON ((-5.059868846264117 34.40415724063815, 0 34.5085229876684, 0 39.98123465891889, -5.059868846264117 39.87112800298822, -5.059868846264117 34.40415724063815))",0.828,0.958,0.958,490986,1124,1028,1485459,33790
321,"POLYGON ((112.6198649480404 0, 118.673146489435 0, 118.673146489435 4.442038523400337, 112.6198649480404 4.67244275538945, 112.6198649480404 0))",0.816,0.859,0.950,552460,321689,3885,1215565,2377
189,"POLYGON ((39.98123465891889 -12.81566331979315, 45 -11.85551661629703, 45 -7.552372279897661, 39.98123465891889 -8.175896074358709, 39.98123465891889 -12.81566331979315))",0.677,0.709,0.766,254658,223083,162120,281214,4040
141,"POLYGON ((22.61986494804042 21.03751102542181, 28.67314648943499 20.08096213071963, 28.67314648943499 25.63226655107013, 22.61986494804042 26.7849955075022, 22.61986494804042 21.03751102542181))",0.882,0.882,0.882,383,383,383,11117,196
0db,"POLYGON ((-10.61965527615513 28.25839533868567, -5.059868846264117 28.57906855098932, -5.059868846264117 34.40415724063815, -10.61965527615513 34.04786296943432, -10.61965527615513 28.25839533868567))",0.652,0.654,0.739,7864,7813,5167,7934,40255
31d,"POLYGON ((100.6196552761551 0, 106.5348378573452 0, 106.5348378573452 4.851647556935838, 100.6196552761551 4.973642825000524, 100.6196552761551 0))",0.876,0.960,0.963,1524284,10610,6769,9678497,23146
683,"POLYGON ((135 -3.582521766172679, 135 -7.552372279897661, 140.0187653410811 -8.175896074358709, 140.0187653410811 -3.881312186924027, 135 -3.582521766172679))",0.707,0.739,0.786,259107,219962,158352,321149,458
24b,"POLYGON ((67.38013505195957 -4.67244275538945, 73.46516214265485 -4.851647556935838, 73.46516214265485 0, 67.38013505195958 0, 67.38013505195957 -4.67244275538945))",0.690,0.718,0.834,19197,17361,7424,21742,40
0df,"POLYGON ((-5.059868846264117 22.54054940194471, 0 22.61986494804042, 0 28.67314648943499, -5.059868846264117 28.57906855098932, -5.059868846264117 22.54054940194471))",0.784,0.842,0.946,84192,39160,289,182086,1868
859,"POLYGON ((-95.05986884626412 16.47390220016713, -95.05986884626412 10.57920733737058, -90 10.61965527615513, -90 16.53483785734516, -95.05986884626412 16.47390220016713))",0.727,0.774,0.814,7462177,5281268,3384616,10484194,14172
123,"POLYGON ((5.059868846264117 22.54054940194471, 10.61965527615513 22.27057548800819, 10.61965527615513 28.25839533868567, 5.059868846264117 28.57906855098932, 5.059868846264117 22.54054940194471))",0.799,0.916,0.944,75428,5011,804,219642,1395
077,"POLYGON ((-45 -11.85551661629703, -39.98123465891889 -12.81566331979315, -39.98123465891889 -8.175896074358709, -45 -7.552372279897661, -45 -11.85551661629703))",0.656,0.731,0.808,1932575,1546706,1036969,1963020,732
317,"POLYGON ((106.5348378573452 10.18989264617986, 112.6198649480404 9.8193006387579, 112.6198649480404 15.32501998539171, 106.5348378573452 15.88626236166589, 106.5348378573452 10.18989264617986))",0.806,0.847,0.895,7185535,3163862,569607,20380767,27082
